service,page_kind,priority,risk,action,editor_status,cms_override,cms_override_enabled,slug,target_keyword,url,word_count,unique_word_count,faq_count,image_count,empty_alt_count,unique_alt_count,incoming_internal_links,unique_image_src_count,linked_from_parent,sitemap_included,title_chars,description_chars,nearest_keyword_url,nearest_keyword_similarity,nearest_content_url,nearest_content_similarity,nearest_template_url,nearest_template_similarity,title,h1
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","essen","Trauermusik Essen","https://kim-marie-borger.com/beerdigungen/essen/","965","343","8","2","0","1","69","1","true","true","38","124","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/leverkusen/","0.6725","https://kim-marie-borger.com/beerdigungen/leverkusen/","0.9161","Trauermusik Essen | Viola für Abschied","Trauermusik in Essen: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","gelsenkirchen","Trauermusik Gelsenkirchen","https://kim-marie-borger.com/beerdigungen/gelsenkirchen/","1127","360","8","2","0","1","3","1","false","true","46","124","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/herne/","0.6646","https://kim-marie-borger.com/beerdigungen/paderborn/","0.9414","Trauermusik Gelsenkirchen | Viola für Abschied","Trauermusik in Gelsenkirchen für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","haan","Trauermusik Haan","https://kim-marie-borger.com/beerdigungen/haan/","1118","359","8","2","0","1","3","1","false","true","37","106","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/dormagen/","0.6629","https://kim-marie-borger.com/beerdigungen/dormagen/","0.9442","Trauermusik Haan | Viola für Abschied","Trauermusik in Haan für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","hagen","Trauermusik Hagen","https://kim-marie-borger.com/beerdigungen/hagen/","1122","362","8","2","0","1","3","1","false","true","38","108","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/aachen/","0.6687","https://kim-marie-borger.com/beerdigungen/aachen/","0.9447","Trauermusik Hagen | Viola für Abschied","Trauermusik in Hagen für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","rewritten-batch-16-stretched-review-needed","true","true","heiligenhaus","Trauermusik Heiligenhaus","https://kim-marie-borger.com/beerdigungen/heiligenhaus/","1122","362","8","2","0","1","3","1","false","true","45","122","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/wuelfrath/","0.675","https://kim-marie-borger.com/beerdigungen/wuelfrath/","0.9499","Trauermusik Heiligenhaus | Viola für Abschied","Trauermusik in Heiligenhaus für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","herne","Trauermusik Herne","https://kim-marie-borger.com/beerdigungen/herne/","1136","361","8","2","0","1","3","1","false","true","38","108","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/gelsenkirchen/","0.6646","https://kim-marie-borger.com/beerdigungen/gelsenkirchen/","0.9394","Trauermusik Herne | Viola für Abschied","Trauermusik in Herne für einen würdevollen Abschied."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","hilden","Trauermusik Hilden","https://kim-marie-borger.com/beerdigungen/hilden/","959","343","8","2","0","1","3","1","false","true","39","126","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/ratingen/","0.6774","https://kim-marie-borger.com/beerdigungen/erkrath/","0.9217","Trauermusik Hilden | Viola für Abschied","Trauermusik in Hilden: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","iserlohn","Trauermusik Iserlohn","https://kim-marie-borger.com/beerdigungen/iserlohn/","1126","359","8","2","0","1","3","1","false","true","41","114","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/bottrop/","0.6683","https://kim-marie-borger.com/beerdigungen/bottrop/","0.9417","Trauermusik Iserlohn | Viola für Abschied","Trauermusik in Iserlohn für einen würdevollen Abschied."
"beerdigungen","local","P1","low","ok","manual-human-editorial-final-2026-07-29","true","true","koeln","Trauermusik Köln","https://kim-marie-borger.com/beerdigungen/koeln/","933","337","8","2","0","1","72","1","true","true","37","122","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/wuppertal/","0.5808","https://kim-marie-borger.com/beerdigungen/duesseldorf/","0.8765","Trauermusik Köln | Viola für Abschied","Trauermusik in Köln für einen persönlichen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","krefeld","Trauermusik Krefeld","https://kim-marie-borger.com/beerdigungen/krefeld/","1118","359","8","2","0","1","3","1","false","true","40","112","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/dormagen/","0.6629","https://kim-marie-borger.com/beerdigungen/dormagen/","0.9442","Trauermusik Krefeld | Viola für Abschied","Trauermusik in Krefeld für einen würdevollen Abschied."
"beerdigungen","local","P3","low","ok","risk-pass-2026-06-16-review-needed","true","true","kreis-mettmann","Trauermusik Kreis Mettmann","https://kim-marie-borger.com/beerdigungen/kreis-mettmann/","1096","354","8","2","0","1","30","1","false","true","47","126","https://kim-marie-borger.com/beerdigungen/mettmann/","0.8","https://kim-marie-borger.com/beerdigungen/rhein-kreis-neuss/","0.5768","https://kim-marie-borger.com/beerdigungen/rhein-kreis-neuss/","0.9199","Trauermusik Kreis Mettmann | Viola für Abschied","Trauermusik im Kreis Mettmann für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","langenfeld","Trauermusik Langenfeld","https://kim-marie-borger.com/beerdigungen/langenfeld/","1122","358","8","2","0","1","3","1","false","true","43","118","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/bottrop/","0.6692","https://kim-marie-borger.com/beerdigungen/bottrop/","0.9442","Trauermusik Langenfeld | Viola für Abschied","Trauermusik in Langenfeld für einen würdevollen Abschied."
"beerdigungen","local","P2","high","rewrite-differentiate","manual-priority-local-seo-2026-06-22","true","true","leverkusen","Trauermusik Leverkusen","https://kim-marie-borger.com/beerdigungen/leverkusen/","946","342","8","2","0","1","4","1","false","true","43","134","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/mettmann/","0.681","https://kim-marie-borger.com/beerdigungen/mettmann/","0.9217","Trauermusik Leverkusen | Viola für Abschied","Trauermusik in Leverkusen: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","medium","ok","rewritten-batch-16-stretched-review-needed","true","true","meerbusch","Trauermusik Meerbusch","https://kim-marie-borger.com/beerdigungen/meerbusch/","1122","358","8","2","0","1","3","1","false","true","42","116","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/bottrop/","0.6692","https://kim-marie-borger.com/beerdigungen/bottrop/","0.9442","Trauermusik Meerbusch | Viola für Abschied","Trauermusik in Meerbusch für einen würdevollen Abschied."
"beerdigungen","local","P2","high","rewrite-differentiate","manual-priority-local-seo-2026-06-22","true","true","mettmann","Trauermusik Mettmann","https://kim-marie-borger.com/beerdigungen/mettmann/","956","340","8","2","0","1","3","1","false","true","41","130","https://kim-marie-borger.com/beerdigungen/kreis-mettmann/","0.8","https://kim-marie-borger.com/beerdigungen/leverkusen/","0.681","https://kim-marie-borger.com/beerdigungen/leverkusen/","0.9217","Trauermusik Mettmann | Viola für Abschied","Trauermusik in Mettmann: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","moenchengladbach","Trauermusik Mönchengladbach","https://kim-marie-borger.com/beerdigungen/moenchengladbach/","946","344","8","2","0","1","3","1","false","true","48","144","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/ratingen/","0.672","https://kim-marie-borger.com/beerdigungen/ratingen/","0.9325","Trauermusik Mönchengladbach | Viola für Abschied","Trauermusik in Mönchengladbach: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","high","rewrite-differentiate","risk-pass-2026-06-16-review-needed","true","true","moers","Trauermusik Moers","https://kim-marie-borger.com/beerdigungen/moers/","1122","358","8","2","0","1","3","1","false","true","38","108","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/unna/","0.6831","https://kim-marie-borger.com/beerdigungen/unna/","0.9534","Trauermusik Moers | Viola für Abschied","Trauermusik in Moers für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","monheim-am-rhein","Trauermusik Monheim am Rhein","https://kim-marie-borger.com/beerdigungen/monheim-am-rhein/","1160","360","8","2","0","1","3","1","false","true","49","130","https://kim-marie-borger.com/beerdigungen/rhein-ruhr/","0.6667","https://kim-marie-borger.com/beerdigungen/dormagen/","0.6476","https://kim-marie-borger.com/beerdigungen/dormagen/","0.943","Trauermusik Monheim am Rhein | Viola für Abschied","Trauermusik in Monheim am Rhein für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","muelheim-an-der-ruhr","Trauermusik Mülheim an der Ruhr","https://kim-marie-borger.com/beerdigungen/muelheim-an-der-ruhr/","1190","361","8","2","0","1","3","1","false","true","52","136","https://kim-marie-borger.com/beerdigungen/rhein-ruhr/","0.6667","https://kim-marie-borger.com/beerdigungen/dormagen/","0.6436","https://kim-marie-borger.com/beerdigungen/gelsenkirchen/","0.9322","Trauermusik Mülheim an der Ruhr | Viola für Abschied","Trauermusik in Mülheim an der Ruhr für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","muenster","Trauermusik Münster","https://kim-marie-borger.com/beerdigungen/muenster/","1122","362","8","2","0","1","3","1","false","true","40","112","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/aachen/","0.6687","https://kim-marie-borger.com/beerdigungen/aachen/","0.9499","Trauermusik Münster | Viola für Abschied","Trauermusik in Münster für einen würdevollen Abschied."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","neuss","Trauermusik Neuss","https://kim-marie-borger.com/beerdigungen/neuss/","966","342","8","2","0","1","70","1","true","true","38","124","https://kim-marie-borger.com/beerdigungen/rhein-kreis-neuss/","0.6667","https://kim-marie-borger.com/beerdigungen/erkrath/","0.6676","https://kim-marie-borger.com/beerdigungen/erkrath/","0.9148","Trauermusik Neuss | Viola für Abschied","Trauermusik in Neuss: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","low","ok","risk-pass-2026-06-16-review-needed","true","true","nordrhein-westfalen","Trauermusik Nordrhein-Westfalen","https://kim-marie-borger.com/beerdigungen/nordrhein-westfalen/","1102","353","8","2","0","1","3","1","false","true","52","136","https://kim-marie-borger.com/beerdigungen/aachen/","0.4","https://kim-marie-borger.com/beerdigungen/ruhrgebiet/","0.5131","https://kim-marie-borger.com/beerdigungen/ruhrgebiet/","0.8594","Trauermusik Nordrhein-Westfalen | Viola für Abschied","Trauermusik in Nordrhein-Westfalen für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","oberhausen","Trauermusik Oberhausen","https://kim-marie-borger.com/beerdigungen/oberhausen/","1126","358","8","2","0","1","3","1","false","true","43","118","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/bottrop/","0.6683","https://kim-marie-borger.com/beerdigungen/bottrop/","0.9417","Trauermusik Oberhausen | Viola für Abschied","Trauermusik in Oberhausen für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","paderborn","Trauermusik Paderborn","https://kim-marie-borger.com/beerdigungen/paderborn/","1122","360","8","2","0","1","3","1","false","true","42","116","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/aachen/","0.6621","https://kim-marie-borger.com/beerdigungen/dormagen/","0.9417","Trauermusik Paderborn | Viola für Abschied","Trauermusik in Paderborn für einen würdevollen Abschied."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","ratingen","Trauermusik Ratingen","https://kim-marie-borger.com/beerdigungen/ratingen/","949","346","8","2","0","1","70","1","true","true","41","130","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/hilden/","0.6774","https://kim-marie-borger.com/beerdigungen/moenchengladbach/","0.9325","Trauermusik Ratingen | Viola für Abschied","Trauermusik in Ratingen: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","recklinghausen","Trauermusik Recklinghausen","https://kim-marie-borger.com/beerdigungen/recklinghausen/","1118","359","8","2","0","1","3","1","false","true","47","126","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/dormagen/","0.6629","https://kim-marie-borger.com/beerdigungen/dormagen/","0.9442","Trauermusik Recklinghausen | Viola für Abschied","Trauermusik in Recklinghausen für einen würdevollen Abschied."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","remscheid","Trauermusik Remscheid","https://kim-marie-borger.com/beerdigungen/remscheid/","950","344","8","2","0","1","4","1","false","true","42","132","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/erkrath/","0.6765","https://kim-marie-borger.com/beerdigungen/moenchengladbach/","0.9161","Trauermusik Remscheid | Viola für Abschied","Trauermusik in Remscheid: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","low","ok","rewritten-batch-16-stretched-review-needed","true","true","rhein-kreis-neuss","Trauermusik Rhein-Kreis Neuss","https://kim-marie-borger.com/beerdigungen/rhein-kreis-neuss/","1120","353","8","2","0","1","3","1","false","true","50","132","https://kim-marie-borger.com/beerdigungen/neuss/","0.6667","https://kim-marie-borger.com/beerdigungen/kreis-mettmann/","0.5768","https://kim-marie-borger.com/beerdigungen/kreis-mettmann/","0.9199","Trauermusik Rhein-Kreis Neuss | Viola für Abschied","Trauermusik im Rhein-Kreis Neuss für einen würdevollen Abschied."
"beerdigungen","local","P3","low","ok","rewritten-batch-16-stretched-review-needed","true","true","rhein-ruhr","Trauermusik Rhein-Ruhr","https://kim-marie-borger.com/beerdigungen/rhein-ruhr/","1147","355","8","2","0","1","24","1","false","true","43","129","https://kim-marie-borger.com/beerdigungen/monheim-am-rhein/","0.6667","https://kim-marie-borger.com/beerdigungen/rheinland/","0.6255","https://kim-marie-borger.com/beerdigungen/rheinland/","0.9286","Trauermusik Rhein-Ruhr | Viola für Abschied","Trauermusik in der Region Rhein-Ruhr für einen würdevollen Abschied."
"beerdigungen","local","P3","low","ok","risk-pass-2026-06-16-review-needed","true","true","rheinland","Trauermusik Rheinland","https://kim-marie-borger.com/beerdigungen/rheinland/","1070","352","8","2","0","1","25","1","false","true","42","116","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/bergisches-land/","0.6394","https://kim-marie-borger.com/beerdigungen/rhein-ruhr/","0.9286","Trauermusik Rheinland | Viola für Abschied","Trauermusik im Rheinland für einen würdevollen Abschied."
"beerdigungen","local","P3","low","ok","risk-pass-2026-06-16-review-needed","true","true","ruhrgebiet","Trauermusik Ruhrgebiet","https://kim-marie-borger.com/beerdigungen/ruhrgebiet/","1078","357","8","2","0","1","3","1","false","true","43","118","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/rheinland/","0.6297","https://kim-marie-borger.com/beerdigungen/rheinland/","0.9086","Trauermusik Ruhrgebiet | Viola für Abschied","Trauermusik im Ruhrgebiet für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","siegen","Trauermusik Siegen","https://kim-marie-borger.com/beerdigungen/siegen/","1140","359","8","2","0","1","3","1","false","true","39","110","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/bottrop/","0.6634","https://kim-marie-borger.com/beerdigungen/oberhausen/","0.936","Trauermusik Siegen | Viola für Abschied","Trauermusik in Siegen für einen würdevollen Abschied."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","solingen","Trauermusik Solingen","https://kim-marie-borger.com/beerdigungen/solingen/","957","343","8","2","0","1","4","1","false","true","41","130","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/leverkusen/","0.6783","https://kim-marie-borger.com/beerdigungen/mettmann/","0.917","Trauermusik Solingen | Viola für Abschied","Trauermusik in Solingen: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","high","rewrite-differentiate","risk-pass-2026-06-16-review-needed","true","true","unna","Trauermusik Unna","https://kim-marie-borger.com/beerdigungen/unna/","1126","358","8","2","0","1","3","1","false","true","37","106","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/moers/","0.6831","https://kim-marie-borger.com/beerdigungen/moers/","0.9534","Trauermusik Unna | Viola für Abschied","Trauermusik in Unna für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","velbert","Trauermusik Velbert","https://kim-marie-borger.com/beerdigungen/velbert/","1122","358","8","2","0","1","3","1","false","true","40","112","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/bottrop/","0.6692","https://kim-marie-borger.com/beerdigungen/bottrop/","0.9442","Trauermusik Velbert | Viola für Abschied","Trauermusik in Velbert für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","rewritten-batch-16-stretched-review-needed","true","true","wuelfrath","Trauermusik Wülfrath","https://kim-marie-borger.com/beerdigungen/wuelfrath/","1122","362","8","2","0","1","3","1","false","true","41","114","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/heiligenhaus/","0.675","https://kim-marie-borger.com/beerdigungen/heiligenhaus/","0.9499","Trauermusik Wülfrath | Viola für Abschied","Trauermusik in Wülfrath für einen würdevollen Abschied."
"beerdigungen","local","P1","low","ok","manual-human-editorial-final-2026-07-29","true","true","wuppertal","Trauermusik Wuppertal","https://kim-marie-borger.com/beerdigungen/wuppertal/","952","347","8","2","0","1","594","1","true","true","42","132","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/duesseldorf/","0.5965","https://kim-marie-borger.com/beerdigungen/duesseldorf/","0.8805","Trauermusik Wuppertal | Viola für Abschied","Trauermusik in Wuppertal — warm, zurückhaltend und vorbereitet."
"beerdigungen","topic","P2","low","ok","risk-pass-2026-06-16-review-needed","true","true","amazing-grace-beerdigung","Amazing Grace Beerdigung","https://kim-marie-borger.com/beerdigungen/amazing-grace-beerdigung/","822","320","10","2","0","1","58","1","false","true","50","128","https://kim-marie-borger.com/beerdigungen/bratsche-beerdigung/","0.4","https://kim-marie-borger.com/beerdigungen/musik-beerdigung/","0.5486","https://kim-marie-borger.com/beerdigungen/musik-beerdigung/","0.8849","Amazing Grace Beerdigung | Live-Viola für Abschied","Amazing Grace, ruhig als Solo-Viola geplant."
"beerdigungen","topic","P2","low","ok","manual-indexing-strengthened-2026-07-29","true","true","ave-maria-beerdigung","Ave Maria Beerdigung","https://kim-marie-borger.com/beerdigungen/ave-maria-beerdigung/","821","313","9","2","0","1","71","1","true","true","46","124","https://kim-marie-borger.com/beerdigungen/bratsche-beerdigung/","0.4","https://kim-marie-borger.com/beerdigungen/bratsche-beerdigung/","0.4947","https://kim-marie-borger.com/beerdigungen/bratsche-beerdigung/","0.8431","Ave Maria Beerdigung | Live-Viola für Abschied","Ave Maria, ruhig als Solo-Viola geplant."
"beerdigungen","topic","P2","low","ok","risk-pass-2026-06-16-review-needed","true","true","bratsche-beerdigung","Bratsche Beerdigung","https://kim-marie-borger.com/beerdigungen/bratsche-beerdigung/","792","306","9","2","0","1","50","1","false","true","45","123","https://kim-marie-borger.com/beerdigungen/geige-beerdigung/","0.5","https://kim-marie-borger.com/beerdigungen/viola-beerdigung/","0.5493","https://kim-marie-borger.com/beerdigungen/viola-beerdigung/","0.8975","Bratsche Beerdigung | Live-Viola für Abschied","Bratsche zur Beerdigung, ruhig als Solo-Viola geplant."
